task_family,dataset,agent_model,method,ppo_used,cs,ca,metric,optimizer_name,metaprompt_style,num_fewshot,top_k,top_k_prompts,valset_size,num_iterations,total_iterations,epochs,train_size,batch_size,prompt_per_example,global_step,final_score,rollouts,rollouts_budget,test_size,input_tokens,output_tokens,real_cost_usd,estimated_cost_usd,runtime_mins,seed,project,run_name,run_id
MMLU,PHILOSOPHY,google/gemma-1.1-7b-it,AlgPrompt,False,,,,,,,1.0,,,,,30.0,,4.0,3.0,,57.87781476974487,,,,,,,,7.02,42.0,mmlu,philosophymeta_changegoogle/gemma-1.1-7b-it_google/gemma-1.1-7b-it,3uyjbfdn
MMLU,PHILOSOPHY,google/gemma-1.1-7b-it,AlgPrompt,False,,,,,,,1.0,,,,,30.0,,4.0,3.0,,55.94855546951294,,,,,,,,4.3,42.0,mmlu,philosophymeta_changegoogle/gemma-1.1-7b-it_google/gemma-1.1-7b-it,2gmi2lwz
MMLU,PHILOSOPHY,google/gemma-1.1-7b-it,AlgPrompt,False,,,,,,,1.0,,,,,30.0,,4.0,3.0,,53.37620377540589,,,20.0,,,,,9.52,,mmlu,philosophymeta_changegoogle/gemma-1.1-7b-it_google/gemma-1.1-7b-it,6k7opmjg
MMLU,PHILOSOPHY,google/gemma-1.1-7b-it,StablePrompt-PPO(cs=0),True,0.0,10.0,,,,,1.0,,,,,30.0,5.0,5.0,4.0,29.0,49.83922839164734,600.0,,311.0,318300.0,,,,5.23,3.0,GFB_QA,gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s3_bs5_top5,yvg9z6oy
MMLU,PHILOSOPHY,google/gemma-1.1-7b-it,StablePrompt-PPO(cs=0),True,0.0,10.0,,,,,1.0,,,,,30.0,5.0,5.0,4.0,29.0,53.697746992111206,600.0,,311.0,411900.0,,,,5.57,42.0,GFB_QA,gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5,c3aav308
MMLU,PHILOSOPHY,google/gemma-1.1-7b-it,StablePrompt-PPO(cs=0.05),True,0.05,3.0,,,,,1.0,,,,,30.0,5.0,5.0,4.0,29.0,58.84244441986084,600.0,,311.0,359700.0,,,,2.9,42.0,GFB_QA,gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5,70ldwvn4
MMLU,PHILOSOPHY,google/gemma-1.1-7b-it,StablePrompt-PPO(cs=0.05),True,0.05,3.0,,,,,1.0,,,,,30.0,5.0,4.0,4.0,59.0,55.94855546951294,960.0,,311.0,439080.0,,,,4.78,42.0,GFB_QA,gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs4_top5,lwn4g2a4
MMLU,PHILOSOPHY,google/gemma-1.1-7b-it,StablePrompt-PPO(cs=0.1),True,0.1,10.0,,,,,1.0,,,,,30.0,5.0,5.0,4.0,29.0,53.697746992111206,600.0,,311.0,411900.0,,,,5.5,42.0,GFB_QA,gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5,doe15pfm
MMLU,PHILOSOPHY,jingyaogong/MiniMind2,AlgPrompt,False,,,,,,,1.0,,,,,30.0,,4.0,3.0,,26.36655867099762,,,20.0,,,,,10.53,,mmlu,philosophymeta_changejingyaogong/MiniMind2_jingyaogong/MiniMind2,mhefzg13
MMLU,PREHISTORY,google/gemma-1.1-7b-it,AlgPrompt,False,,,,,,,1.0,,,,,30.0,,4.0,3.0,,55.86419701576233,,,,,,,,7.18,42.0,mmlu,prehistorymeta_changegoogle/gemma-1.1-7b-it_google/gemma-1.1-7b-it,7z56gxe6
MMLU,PREHISTORY,google/gemma-1.1-7b-it,AlgPrompt,False,,,,,,,1.0,,,,,30.0,,4.0,3.0,,55.86419701576233,,,,,,,,7.33,42.0,mmlu,prehistorymeta_changegoogle/gemma-1.1-7b-it_google/gemma-1.1-7b-it,j8e9s55z
MMLU,PREHISTORY,google/gemma-1.1-7b-it,AlgPrompt,False,,,,,,,1.0,,,,,30.0,,4.0,3.0,,60.18518805503845,,,,,,,,4.32,42.0,mmlu,prehistorymeta_changegoogle/gemma-1.1-7b-it_google/gemma-1.1-7b-it,ndqoel4r
MMLU,PREHISTORY,google/gemma-1.1-7b-it,AlgPrompt,False,,,,,,,1.0,,,,,30.0,,4.0,3.0,,58.64197611808777,,,20.0,,,,,9.78,,mmlu,prehistorymeta_changegoogle/gemma-1.1-7b-it_google/gemma-1.1-7b-it,ihl7liv2
MMLU,PREHISTORY,google/gemma-1.1-7b-it,StablePrompt-PPO(cs=0),True,0.0,10.0,,,,,1.0,,,,,30.0,5.0,5.0,4.0,29.0,57.71604776382446,600.0,,324.0,262950.0,,,,5.92,3.0,GFB_QA,gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s3_bs5_top5,iqe8bpc6
MMLU,PREHISTORY,google/gemma-1.1-7b-it,StablePrompt-PPO(cs=0),True,0.0,10.0,,,,,1.0,,,,,30.0,5.0,5.0,4.0,29.0,60.80247163772583,600.0,,324.0,417600.0,,,,5.87,42.0,GFB_QA,gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5,4jurx8kz
MMLU,PREHISTORY,google/gemma-1.1-7b-it,StablePrompt-PPO(cs=0.05),True,0.05,3.0,,,,,1.0,,,,,30.0,5.0,5.0,4.0,29.0,60.18518805503845,600.0,,324.0,439950.0,,,,6.62,42.0,GFB_QA,gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5,awb0ncsp
MMLU,PREHISTORY,google/gemma-1.1-7b-it,StablePrompt-PPO(cs=0.05),True,0.05,3.0,,,,,1.0,,,,,30.0,5.0,4.0,4.0,59.0,60.18518805503845,960.0,,324.0,472200.0,,,,5.12,42.0,GFB_QA,gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs4_top5,uovf4si3
MMLU,PREHISTORY,google/gemma-1.1-7b-it,StablePrompt-PPO(cs=0.1),True,0.1,10.0,,,,,1.0,,,,,30.0,5.0,5.0,4.0,29.0,59.87654328346253,600.0,,324.0,417600.0,,,,5.95,42.0,GFB_QA,gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5,wfxt4htr
MMLU,PREHISTORY,jingyaogong/MiniMind2,AlgPrompt,False,,,,,,,1.0,,,,,30.0,,4.0,3.0,,25.92592537403106,,,20.0,,,,,10.63,,mmlu,prehistorymeta_changejingyaogong/MiniMind2_jingyaogong/MiniMind2,30gmvvdg
