run_id,project,run_name,dataset,seed,runtime_mins,top_k,agent_model,method,final_score,ppo_used,rollouts,rollouts_budget,cs,ca,metric,optimizer_name,optimization_surface,metaprompt_style,num_fewshot,batch_size,prompt_per_example,train_size,epochs,top_k_prompts,valset_size,num_iterations,global_step,total_iterations,test_size,input_tokens,output_tokens,real_cost_usd,estimated_cost_usd
aa8u5puv,hover-dynamic-fewshot,dynamic_fewshot_qwen3_8b_20iter_3shot,HOVER,,71.55,1.0,Qwen3-8B,FSPO,44.0,False,600.0,,,,gepa_artifact.benchmarks.hover.hover_utils.discrete_retrieval_eval,,four_predictor_instructions,four_stage_multi_hop_retrieval,3.0,,,,,1.0,30.0,20.0,,20.0,300.0,,,,
t5xzxori,hover-baseline-test,original_dspy_baseline_gpt41mini,HOVER,,17.23,1.0,GPT-4.1-mini,Baseline,36.33,False,,,,,gepa_artifact.benchmarks.hover.hover_utils.discrete_retrieval_eval,,,,,,,,,,300.0,,,,300.0,,,,
i6jpie0k,hover-baseline-test,original_dspy_baseline_qwen3-8b,HOVER,,13.03,1.0,Qwen3-8B,Baseline,32.67,False,,,,,gepa_artifact.benchmarks.hover.hover_utils.discrete_retrieval_eval,,,,,,,,,,300.0,,,,300.0,,,,
8w1agenb,hover-baseline-test,original_dspy_baseline_gpt41mini,HOVER,,5.75,1.0,GPT-4.1-mini,Baseline,40.33,False,,,,,gepa_artifact.benchmarks.hover.hover_utils.discrete_retrieval_eval,,,,,,,,,,300.0,,,,300.0,,,,
mo8q5f7s,hover-baseline-test,original_dspy_baseline_qwen3-8b,HOVER,,13.62,1.0,Qwen3-8B,Baseline,33.67,False,,,,,gepa_artifact.benchmarks.hover.hover_utils.discrete_retrieval_eval,,,,,,,,,,300.0,,,,300.0,,,,
lxer1u42,ifbench-baseline-test,original_dspy_baseline_qwen3-8b,IFBENCH,,33.5,1.0,Qwen3-8B,Baseline,73.81,False,,,,,,,,,,,,,,,300.0,,,,294.0,,,,
vfjynj07,ifbench-baseline-test,original_dspy_baseline_gpt41mini,IFBENCH,,3.52,1.0,GPT-4.1-mini,Baseline,75.0,False,,,,,,,,,,,,,,,300.0,,,,294.0,,,,
9e5vz6x5,ifbench-baseline-test,original_dspy_baseline_gpt41mini,IFBENCH,,14.02,1.0,GPT-4.1-mini,Baseline,48.3,False,,,,,gepa_artifact.benchmarks.IFBench.ifbench_metric.metric_with_feedback,,,,,,,,,,300.0,,,,294.0,,,,
sz313hux,ifbench-baseline-test,original_dspy_baseline_qwen3-8b,IFBENCH,,60.18,1.0,Qwen3-8B,Baseline,38.61,False,,,,,gepa_artifact.benchmarks.IFBench.ifbench_metric.metric_with_feedback,,,,,,,,,,300.0,,,,294.0,,,,
sm7lppk2,ifbench-baseline-test,original_dspy_baseline_qwen3-8b,IFBENCH,,246.72,1.0,Qwen3-8B,Baseline,41.5,False,,,,,gepa_artifact.benchmarks.IFBench.ifbench_metric.metric_with_feedback,,,,,,,,,,300.0,,,,294.0,,,,
6c88pleg,ifbench-baseline-test,original_dspy_baseline_qwen3-8b,IFBENCH,,122.33,1.0,Qwen3-8B,Baseline,41.5,False,,,,,gepa_artifact.benchmarks.IFBench.ifbench_metric.metric_with_feedback,,,,,,,,,,300.0,,,,294.0,,,,
vrx53i4m,ifbench-baseline-test,original_dspy_baseline_gpt41mini,IFBENCH,,27.5,1.0,GPT-4.1-mini,Baseline,48.3,False,,,,,gepa_artifact.benchmarks.IFBench.ifbench_metric.metric_with_feedback,,,,,,,,,,300.0,,,,294.0,,,,
9ogkl1i5,ifbench-dynamic-fewshot,dynamic_fewshot_qwen3_8b_20iter_3shot,IFBENCH,,260.05,1.0,Qwen3-8B,FSPO,75.17,False,3000.0,,,,,,,,3.0,,,,,5.0,30.0,20.0,,20.0,294.0,,,,
w5dkndzl,ifbench-dynamic-fewshot,dynamic_fewshot_gpt41mini_20iter_3shot,IFBENCH,,60.52,1.0,GPT-4.1-mini,FSPO,76.19,False,3000.0,,,,,,,,3.0,,,,,5.0,30.0,20.0,,20.0,294.0,,,,
8z2rfgr7,ifbench-dynamic-fewshot,dynamic_fewshot_qwen3_8b_20iter_3shot,IFBENCH,,205.2,1.0,Qwen3-8B,FSPO,40.82,False,600.0,,,,gepa_artifact.benchmarks.IFBench.ifbench_metric.metric_with_feedback,,,,3.0,,,,,1.0,30.0,20.0,,20.0,294.0,,,,
r9104ny9,ifbench-dynamic-fewshot,dynamic_fewshot_qwen3_8b_20iter_3shot,IFBENCH,,709.65,1.0,Qwen3-8B,FSPO,38.95,False,600.0,,,,gepa_artifact.benchmarks.IFBench.ifbench_metric.metric_with_feedback,,,,3.0,,,,,1.0,30.0,20.0,,20.0,294.0,,,,
0tv7woty,ifbench-dynamic-fewshot,dynamic_fewshot_gpt41mini_20iter_3shot,IFBENCH,,157.5,1.0,GPT-4.1-mini,FSPO,51.53,False,600.0,,,,gepa_artifact.benchmarks.IFBench.ifbench_metric.metric_with_feedback,,,generic_fewshot_only,3.0,,,,,1.0,30.0,20.0,,20.0,294.0,,,,
bfmewlrg,ifbench-dynamic-fewshot,dynamic_fewshot_qwen3_8b_20iter_3shot,IFBENCH,,340.47,1.0,Qwen3-8B,FSPO,43.88,False,600.0,,,,gepa_artifact.benchmarks.IFBench.ifbench_metric.metric_with_feedback,,,ifbench_two_stage,3.0,,,,,1.0,30.0,20.0,,20.0,294.0,,,,
oz2skszd,ifbench-dynamic-fewshot,dynamic_fewshot_gpt41mini_20iter_3shot,IFBENCH,,81.27,1.0,GPT-4.1-mini,FSPO,48.809999999999995,False,600.0,,,,gepa_artifact.benchmarks.IFBench.ifbench_metric.metric_with_feedback,,,generic_fewshot_only,3.0,,,,,1.0,30.0,20.0,,20.0,294.0,,,,
aze6k9s5,aime-math-baseline-litellm,baseline_litellm_qwen3-8b,AIME-2025,,106.53,20.0,Qwen3-8B,Baseline,66.66666666666666,False,,,,,,,,,,,,,,,45.0,,,,150.0,,,,
z2dtuuno,aime-math-baseline-litellm,baseline_litellm_gpt-4.1-mini,AIME-2025,,25.88,1.0,GPT-4.1-mini,Baseline,49.33333333333333,False,,,,,,,,,,,,,,,45.0,,,,150.0,,,,
tvozrvmu,aime-math-baseline,baseline_qwen3-8b,AIME-2025,,149.72,20.0,Qwen3-8B,Baseline,38.0,False,,,,,,,,,,,,,,,,,,,150.0,,,,
qbbkcjhf,aime-math-baseline,baseline_gpt-4.1-mini,AIME-2025,,23.08,1.0,GPT-4.1-mini,Baseline,47.33,False,,,,,,,,,,,,,,,,,,,150.0,,,,
dgk5dnn7,aime-math-baseline,baseline_qwen3-8b,AIME-2025,,106.88,20.0,Qwen3-8B,Baseline,44.67,False,,,,,artifact_aligned_AIME_integer_exact_match,,,,,,,,,,,,,,150.0,,,,
80wchg13,aime-math-litellm-agnostic-nb,litellm_agnostic_nb_20iter_3shot,AIME-2025,,533.28,1.0,Qwen3-8B,Unknown,68.66666666666667,False,,,,,,,,,3.0,,,,,5.0,45.0,20.0,,,150.0,,,,
j7n57vs0,aime-math-litellm-agnostic-nb,litellm_agnostic_nb_20iter_3shot,AIME-2025,,579.95,1.0,Qwen3-8B,Unknown,66.0,False,,,,,,,,,3.0,,,,,5.0,45.0,20.0,,,150.0,,,,
pjquggwc,aime-math-litellm-agnostic-nb,litellm_v2_stratified_20iter_3shot,AIME-2025,,811.92,1.0,Qwen3-8B,Unknown,67.33333333333333,False,,,,,,,,,3.0,,,,,5.0,45.0,20.0,,,150.0,,,,
rw7cmqgu,aime-math-litellm-agnostic-nb,litellm_gpt41mini_20iter_3shot,AIME-2025,,190.38,1.0,GPT-4.1-mini,Unknown,46.666666666666664,False,,,,,,,,,3.0,,,,,5.0,45.0,20.0,,,150.0,,,,
4fx08hfi,aime-math-litellm-agnostic-nb,litellm_v2_gpt41mini_20iter_3shot,AIME-2025,,181.4,1.0,GPT-4.1-mini,Unknown,49.33333333333333,False,,,,,,,,,3.0,,,,,5.0,15.0,20.0,,,150.0,,,,
5nnpwzju,aime-math-litellm-agnostic-nb,litellm_v2_stratified_20iter_3shot,AIME-2025,,516.08,1.0,Qwen3-8B,Unknown,67.33333333333333,False,,,,,,,,,3.0,,,,,5.0,15.0,20.0,,,150.0,,,,
tyriox1b,GEPA,AIMEBench_CoT_Baseline_gpt-41-mini-openrouter_seed_0_final_eval,AIME-2025,0.0,3.4,1.0,GPT-4.1-mini,Baseline,40.0,False,,,,,,Baseline,,,,,,,,,,,,,150.0,1034.0,26955.0,0.9400440000000004,0.9400440000000004
e63dl8v1,GEPA,HotpotQABench_HotpotMultiHop_Baseline_gpt-41-mini-openrouter_seed_0_final_eval,HOTPOTQA,0.0,188.28,1.0,GPT-4.1-mini,Baseline,35.33,False,,,,,,Baseline,,,,,,,,,,,,,300.0,771330.0,161929.0,0.5676184,0.5676184
077f04r2,GEPA,IFBench_IFBenchCoT2StageProgram_Baseline_gpt-41-mini-openrouter_seed_0_final_eval,IFBENCH,0.0,29.23,1.0,GPT-4.1-mini,Baseline,48.13,False,,,,,,Baseline,,,,,,,,,,,,,294.0,217107.0,244505.0,0.4780508,0.4780508
wxz5mpbs,GEPA,IFBench_IFBenchCoT2StageProgram_MIPROv2-Heavy_gpt-41-mini-openrouter_seed_0_final_eval,IFBENCH,0.0,36.05,1.0,GPT-4.1-mini,MIPROv2-Heavy,51.19,False,,,,,,MIPROv2-Heavy,,,,,,,,,,,,,294.0,9327210.0,2805191.0,8.324219199999991,8.324219199999991
f50jd1w3,GEPA,AIMEBench_CoT_MIPROv2-Heavy_gpt-41-mini-openrouter_seed_0_final_eval,AIME-2025,0.0,13.22,1.0,GPT-4.1-mini,MIPROv2-Heavy,46.67,False,,,,,,MIPROv2-Heavy,,,,,,,,,,,,,150.0,6456903.0,4445810.0,10.677099200000011,10.677099200000011
qhp1xhep,GEPA,/root/gepa/gepa-artifact/experiment_runs_data/experiment_runs/seed_0/IFBench_IFBenchCoT2StageProgram_GEPA-MERGE_gpt-41-mini-openrouter,IFBENCH,,245.43,1.0,GPT-4.1-mini,GEPA,,False,,,,,,,,,,,,,,,,,,,,,,,
0d3vqcmk,GEPA,/root/gepa/gepa-artifact/experiment_runs_data/experiment_runs/seed_0/AIMEBench_CoT_GEPA-MERGE_gpt-41-mini-openrouter,AIME-2025,,882.82,1.0,GPT-4.1-mini,GEPA,,False,,,,,,,,,,,,,,,,,,,,,,,
34v07eo2,GEPA,IFBench_IFBenchCoT2StageProgram_GEPA-MERGE_gpt-41-mini-openrouter_seed_0_final_eval,IFBENCH,0.0,35.05,1.0,GPT-4.1-mini,GEPA-MERGE,49.49,False,,,,,,GEPA-MERGE,,,,,,,,,,,,,294.0,4665494.0,2168727.0,7.970855199999996,7.970855199999996
1mb959j8,GEPA,/root/gepa/gepa-artifact/experiment_runs_data/experiment_runs/seed_0/IFBench_IFBenchCoT2StageProgram_GEPA_gpt-41-mini-openrouter,IFBENCH,,244.54,1.0,GPT-4.1-mini,GEPA,,False,,,,,,,,,,,,,,,,,,,,,,,
wverd6or,GEPA,IFBench_IFBenchCoT2StageProgram_GEPA_gpt-41-mini-openrouter_seed_0_final_eval,IFBENCH,0.0,24.82,1.0,GPT-4.1-mini,GEPA,49.83,False,,,,,,GEPA,,,,,,,,,,,,,294.0,5538588.0,2456765.0,7.5162592000000075,7.5162592000000075
c7evheyb,GEPA,Papillon_PAPILLON_Baseline_gpt-41-mini-openrouter_seed_0_final_eval,PUPA,0.0,38.6,1.0,GPT-4.1-mini,Baseline,80.81,False,,,,,,Baseline,,,,,,,,,,,,,221.0,293971.0,132112.0,0.3643003999999997,0.3643003999999997
jrfatq5k,GEPA,hoverBench_HoverMultiHop_Baseline_gpt-41-mini-openrouter_seed_0_final_eval,HOVER,0.0,32.17,1.0,GPT-4.1-mini,Baseline,43.67,False,,,,,,Baseline,,,,,,,,,,,,,300.0,824938.0,236463.0,0.7083159999999998,0.7083159999999998
omlg6qom,GEPA,/home/jovyan/gepa-artifact/experiment_runs_data/experiment_runs/seed_0/LiveBenchMathBench_CoT_GEPA-MERGE_gpt-41-mini-openrouter,LIVEBENCH-MATH,,105.76,1.0,GPT-4.1-mini,GEPA,,False,,,,,,,,,,,,,,,,,,,,,,,
r62wx9kg,GEPA,AIMEBench_CoT_GEPA-MERGE_gpt-41-mini-openrouter_seed_0_final_eval,AIME-2025,0.0,16.55,1.0,GPT-4.1-mini,GEPA-MERGE,46.67,False,,,,,,GEPA-MERGE,,,,,,,,,,,,,150.0,4578151.0,8685159.0,17.821237200000006,17.821237200000006
xj0qjc4s,GEPA,Papillon_PAPILLON_MIPROv2-Heavy_gpt-41-mini-openrouter_seed_0_final_eval,PUPA,0.0,39.03,1.0,GPT-4.1-mini,MIPROv2-Heavy,83.59,False,,,,,,MIPROv2-Heavy,,,,,,,,,,,,,221.0,8135085.0,1498755.0,5.857366399999996,5.857366399999996
0rm9nuoc,GEPA,LiveBenchMathBench_CoT_GEPA-MERGE_gpt-41-mini-openrouter_seed_0_final_eval,LIVEBENCH-MATH,0.0,32.0,1.0,GPT-4.1-mini,GEPA-MERGE,61.14,False,,,,,,GEPA-MERGE,,,,,,,,,,,,,126.0,2708440.0,2826589.0,5.902178400000013,5.902178400000013
n7si0xa5,GEPA,/home/jovyan/gepa-artifact/experiment_runs_data/experiment_runs/seed_0/LiveBenchMathBench_CoT_GEPA_gpt-41-mini-openrouter,LIVEBENCH-MATH,,133.38,1.0,GPT-4.1-mini,GEPA,,False,,,,,,,,,,,,,,,,,,,,,,,
8hllkzv8,GEPA,LiveBenchMathBench_CoT_GEPA_gpt-41-mini-openrouter_seed_0_final_eval,LIVEBENCH-MATH,0.0,34.8,1.0,GPT-4.1-mini,GEPA,64.21,False,,,,,,GEPA,,,,,,,,,,,,,126.0,2861713.0,3056794.0,10.453779199999987,10.453779199999987
lo5sbuxv,GEPA,/home/jovyan/gepa-artifact/experiment_runs_data/experiment_runs/seed_0/hoverBench_HoverMultiHop_GEPA-MERGE_gpt-41-mini-openrouter,HOVER,,104.9,1.0,GPT-4.1-mini,GEPA,,False,,,,,,,,,,,,,,,,,,,,,,,
avi2j253,GEPA,AIMEBench_CoT_Baseline_gpt-41-mini-openrouter_seed_0_final_eval,AIME-2025,0.0,19.82,1.0,GPT-4.1-mini,Baseline,53.33,False,,,,,,Baseline,,,,,,,,,,,,,150.0,10663.0,144550.0,1.1411416,1.1411416
lgwdl9nf,GEPA,hoverBench_HoverMultiHop_GEPA-MERGE_gpt-41-mini-openrouter_seed_0_final_eval,HOVER,0.0,14.85,1.0,GPT-4.1-mini,GEPA-MERGE,49.67,False,,,,,,GEPA-MERGE,,,,,,,,,,,,,300.0,21181794.0,4789980.0,24.88143839999999,24.88143839999999
r11de69j,GEPA,/home/jovyan/gepa-artifact/experiment_runs_data/experiment_runs/seed_0/hoverBench_HoverMultiHop_GEPA_gpt-41-mini-openrouter,HOVER,,159.33,1.0,GPT-4.1-mini,GEPA,,False,,,,,,,,,,,,,,,,,,,,,,,
au7w9dut,GEPA,AIMEBench_CoT_MIPROv2-Heavy_gpt-41-mini-openrouter_seed_0_final_eval,AIME-2025,0.0,16.52,1.0,GPT-4.1-mini,MIPROv2-Heavy,40.0,False,,,,,,MIPROv2-Heavy,,,,,,,,,,,,,150.0,6354501.0,4559823.0,12.621361199999999,12.621361199999999
grkqqy50,GEPA,hoverBench_HoverMultiHop_GEPA_gpt-41-mini-openrouter_seed_0_final_eval,HOVER,0.0,15.35,1.0,GPT-4.1-mini,GEPA,50.33,False,,,,,,GEPA,,,,,,,,,,,,,300.0,22432141.0,4737669.0,25.868068000000243,25.868068000000243
11pxfuzl,GEPA,/home/jovyan/gepa-artifact/experiment_runs_data/experiment_runs/seed_0/AIMEBench_CoT_GEPA-MERGE_gpt-41-mini-openrouter,AIME-2025,,466.68,1.0,GPT-4.1-mini,GEPA,,False,,,,,,,,,,,,,,,,,,,,,,,
odskvw73,GEPA,AIMEBench_CoT_GEPA-MERGE_gpt-41-mini-openrouter_seed_0_final_eval,AIME-2025,0.0,14.12,1.0,GPT-4.1-mini,GEPA-MERGE,50.0,False,,,,,,GEPA-MERGE,,,,,,,,,,,,,150.0,4265374.0,9755130.0,19.221068799999983,19.221068799999983
76zkds0h,GEPA,/home/jovyan/gepa-artifact/experiment_runs_data/experiment_runs/seed_0/AIMEBench_CoT_GEPA_gpt-41-mini-openrouter,AIME-2025,,458.73,1.0,GPT-4.1-mini,GEPA,,False,,,,,,,,,,,,,,,,,,,,,,,
1ksi41t3,GEPA,AIMEBench_CoT_GEPA_gpt-41-mini-openrouter_seed_0_final_eval,AIME-2025,0.0,14.88,1.0,GPT-4.1-mini,GEPA,50.0,False,,,,,,GEPA,,,,,,,,,,,,,150.0,4900408.0,9591800.0,19.253224000000003,19.253224000000003
rdp3iq4v,GEPA,hoverBench_HoverMultiHop_MIPROv2-Heavy_gpt-41-mini-openrouter_seed_0_final_eval,HOVER,0.0,61.05,1.0,GPT-4.1-mini,MIPROv2-Heavy,47.33,False,,,,,,MIPROv2-Heavy,,,,,,,,,,,,,300.0,21979584.0,2975930.0,25.55533639999978,25.55533639999978
ul1g1jfl,GEPA,/root/gepa/gepa-artifact/experiment_runs_data/experiment_runs/seed_0/hoverBench_HoverMultiHop_GEPA-MERGE_gpt-41-mini-openrouter,HOVER,,608.65,1.0,GPT-4.1-mini,GEPA,,False,,,,,,,,,,,,,,,,,,,,,,,
cbww2z0d,GEPA,hoverBench_HoverMultiHop_GEPA-MERGE_gpt-41-mini-openrouter_seed_0_final_eval,HOVER,0.0,46.05,1.0,GPT-4.1-mini,GEPA-MERGE,50.0,False,,,,,,GEPA-MERGE,,,,,,,,,,,,,300.0,20965559.0,4116541.0,23.6879424000001,23.6879424000001
f8l874uw,GEPA,/root/gepa/gepa-artifact/experiment_runs_data/experiment_runs/seed_0/hoverBench_HoverMultiHop_GEPA_gpt-41-mini-openrouter,HOVER,,1048.25,1.0,GPT-4.1-mini,GEPA,,False,,,,,,,,,,,,,,,,,,,,,,,
zoykqc14,GEPA,/root/gepa/gepa-artifact/experiment_runs_data/experiment_runs/seed_0/Papillon_PAPILLON_GEPA-MERGE_gpt-41-mini-openrouter,PUPA,,543.79,1.0,GPT-4.1-mini,GEPA,,False,,,,,,,,,,,,,,,,,,,,,,,
fseu747k,GEPA,hoverBench_HoverMultiHop_GEPA_gpt-41-mini-openrouter_seed_0_final_eval,HOVER,0.0,45.78,1.0,GPT-4.1-mini,GEPA,49.0,False,,,,,,GEPA,,,,,,,,,,,,,300.0,24457774.0,5629351.0,24.87235720000004,24.87235720000004
y1lojof8,GEPA,Papillon_PAPILLON_GEPA-MERGE_gpt-41-mini-openrouter_seed_0_final_eval,PUPA,0.0,44.08,1.0,GPT-4.1-mini,GEPA-MERGE,93.52,False,,,,,,GEPA-MERGE,,,,,,,,,,,,,221.0,6183171.0,1938820.0,7.117388800000015,7.117388800000015
u79sb1wz,GEPA,/root/gepa/gepa-artifact/experiment_runs_data/experiment_runs/seed_0/Papillon_PAPILLON_GEPA_gpt-41-mini-openrouter,PUPA,,631.56,1.0,GPT-4.1-mini,GEPA,,False,,,,,,,,,,,,,,,,,,,,,,,
r52c9gta,GEPA,Papillon_PAPILLON_GEPA_gpt-41-mini-openrouter_seed_0_final_eval,PUPA,0.0,52.8,1.0,GPT-4.1-mini,GEPA,90.1,False,,,,,,GEPA,,,,,,,,,,,,,221.0,6746833.0,2119831.0,7.386323600000054,7.386323600000054
8hw6wctw,GEPA,LiveBenchMathBench_CoT_Baseline_qwen3-8b-openrouter_seed_0_final_eval,LIVEBENCH-MATH,0.0,0.02,1.0,Qwen3-8B,Baseline,,False,,,,,,Baseline,,,,,,,,,,,,,2.0,,,,
ytcr39a2,GEPA,LiveBenchMathBench_CoT_Baseline_qwen3-8b-openrouter_seed_0_final_eval,LIVEBENCH-MATH,0.0,1.18,1.0,Qwen3-8B,Baseline,40.42,False,,,,,,Baseline,,,,,,,,,,,,,2.0,3596.0,11522.0,0.005663242,0.005663242
w09op2qn,GEPA,Papillon_PAPILLON_Baseline_qwen3-8b-openrouter_seed_0_final_eval,PUPA,0.0,0.43,1.0,Qwen3-8B,Baseline,66.67,False,,,,,,Baseline,,,,,,,,,,,,,2.0,1535.0,2853.0,0.00147771,0.00147771
3ccapws0,GEPA,LiveBenchMathBench_CoT_Baseline_qwen3-8b-openrouter_seed_0_final_eval,LIVEBENCH-MATH,0.0,71.55,1.0,Qwen3-8B,Baseline,65.53,False,,,,,,Baseline,,,,,,,,,,,,,126.0,68415.0,797387.0,0.37081564,0.37081564
5ov8lf85,GEPA,Papillon_PAPILLON_Baseline_qwen3-8b-openrouter_seed_0_final_eval,PUPA,0.0,51.33,1.0,Qwen3-8B,Baseline,81.55,False,,,,,,Baseline,,,,,,,,,,,,,221.0,273420.0,307686.0,0.1938830399999999,0.1938830399999999
hfc1ysyj,GEPA,LiveBenchMathBench_CoT_Baseline_qwen3-8b-openrouter-nothink_seed_0_final_eval,LIVEBENCH-MATH,0.0,69.28,1.0,Qwen3-8B,Baseline,67.54,False,,,,,,Baseline,,,,,,,,,,,,,126.0,66354.0,775618.0,0.3606696079999998,0.3606696079999998
x0ctj0q4,GEPA,LiveBenchMathBench_CoT_Baseline_qwen3-8b-openrouter-nothink_seed_0_final_eval,LIVEBENCH-MATH,0.0,13.15,1.0,Qwen3-8B,Baseline,35.82,False,,,,,,Baseline,,,,,,,,,,,,,126.0,68784.0,133355.0,0.0687242529999999,0.0687242529999999
6xgosvsd,GEPA,LiveBenchMathBench_CoT_Baseline_qwen3-8b-openrouter-nothink-v2_seed_0_final_eval,LIVEBENCH-MATH,0.0,13.75,1.0,Qwen3-8B,Baseline,38.48,False,,,,,,Baseline,,,,,,,,,,,,,126.0,68696.0,136068.0,0.069948372,0.069948372
p6f1xv1i,GEPA,LiveBenchMathBench_CoT_MIPROv2-Heavy_qwen3-8b-openrouter-nothink_seed_0_final_eval,LIVEBENCH-MATH,0.0,58.35,1.0,Qwen3-8B,MIPROv2-Heavy,65.53,False,,,,,,MIPROv2-Heavy,,,,,,,,,,,,,126.0,6405498.0,6888875.0,4.838665910000002,4.838665910000002
xtnz9hj6,GEPA,/root/gepa/gepa-artifact/experiment_runs_data/experiment_runs/seed_0/LiveBenchMathBench_CoT_GEPA-MERGE_qwen3-8b-openrouter-nothink,LIVEBENCH-MATH,,871.78,1.0,Qwen3-8B,GEPA,,False,,,,,,,,,,,,,,,,,,,,,,,
33tj4dpu,GEPA,LiveBenchMathBench_CoT_GEPA-MERGE_qwen3-8b-openrouter-nothink_seed_0_final_eval,LIVEBENCH-MATH,0.0,67.55,1.0,Qwen3-8B,GEPA-MERGE,65.88,False,,,,,,GEPA-MERGE,,,,,,,,,,,,,126.0,2257626.0,9893133.0,4.871579089000007,4.871579089000007
47y6jh4q,GEPA,/root/gepa/gepa-artifact/experiment_runs_data/experiment_runs/seed_0/LiveBenchMathBench_CoT_GEPA_qwen3-8b-openrouter-nothink,LIVEBENCH-MATH,,818.0,1.0,Qwen3-8B,GEPA,,False,,,,,,,,,,,,,,,,,,,,,,,
nxljljps,GEPA,LiveBenchMathBench_CoT_GEPA_qwen3-8b-openrouter-nothink_seed_0_final_eval,LIVEBENCH-MATH,0.0,64.6,1.0,Qwen3-8B,GEPA,68.92,False,,,,,,GEPA,,,,,,,,,,,,,126.0,1843812.0,9495281.0,4.623925175999998,4.623925175999998
kmgj98zu,GEPA,AIMEBench_CoT_Baseline_qwen3-8b-openrouter_seed_0_final_eval,AIME-2025,0.0,0.03,1.0,Qwen3-8B,Baseline,,False,,,,,,Baseline,,,,,,,,,,,,,150.0,,,,
